Word,Length,Freq_HAL,Log_Freq_HAL,MorphSp,POS
ALKYLBENZENESULFONATES,22,0,0,NULL,NULL
electroencephalographs,22,7,1.95,<electro<{en--cephal--ograph}>s>,NN
IMMUNOELECTROPHORESIS,21,2,0.69,<immuno<{electro--phoresis},NN
electroencephalograms,21,0,0,<electro<{en--cephalo--gram}>s>,NN
electroencephalograph,21,10,2.3,<electro<{en--cephal--ograph},NN
DABHUMAKSANIGALU'AHAI,21,0,0,NULL,NULL
psychopharmacological,21,15,2.71,<psycho<{pharmac--olog--ic}>al>,JJ
internationalization,20,743,6.61,<inter<{nation}>al>>ise>>ation>,NN
electroencephalogram,20,7,1.95,<electro<{en--cephalo--gram},NN
contradistinguishing,20,0,0,<contra<{distinguish}>ing>,VB|NN|JJ
institutionalization,20,89,4.49,{in--stitute}>ion>>al>>ise>>ation>,NN
UNSELFCONSCIOUSNESS,19,0,0,<un<{self}{consc--ious}>ness>,NN
ULTRACENTRIFUGATION,19,13,2.56,NULL,NULL
transmogrifications,19,2,0.69,NULL,NULL
RADIOPASTEURIZATION,19,0,0,{radio}{pasteur--ize}>ation>,NN
photosensitizations,19,0,0,<photo<{sens--itize}>ation>>s>,NN
overcapitalizations,19,0,0,<over<{capit--al}>ise>>ation>>s>,NN
oversimplifications,19,16,2.77,<over<{simple}>ify>>ation>>s>,NN
impressionistically,19,0,0,{im--press}>ion>>ist>>ic>>ally>,RB
incomprehensibility,19,31,3.43,<in<{com--prehend}>able>>ity>,NN
HYPOADRENOCORTICISM,19,0,0,NULL,NULL
GLOTTOCHRONOLOGICAL,19,1,0,NULL,NULL
electrocardiographs,19,2,0.69,<electro<{cardi--ograph}>s>,NN
contradistinguished,19,0,0,<contra<{distinguish}>ed>,VB|JJ
contradistinguishes,19,0,0,<contra<{distinguish}>s>,VB
constitutionalizing,19,0,0,{con--stitute}>ion>>al>>ise>>ing>,VB|NN|JJ
metropolitanization,19,0,0,NULL,NULL
interdenominational,19,24,3.18,<inter<{de--nomin--ate}>ion>>al>,JJ
counterintelligence,19,159,5.07,<counter<{intellig--ence},NN
ULTRACENTRIFUGALLY,18,0,0,NULL,RB
transmogrification,18,15,2.71,NULL,NULL
transubstantiating,18,2,0.69,NULL,VB
transubstantiation,18,95,4.55,NULL,NN
TRIPHENYLPHOSPHINE,18,0,0,{triphenylphosph--ine},NN
TRIPHOSPHOPYRIDINE,18,0,0,NULL,NULL
SPECTROPHOTOMETRIC,18,13,2.56,NULL,JJ
RADIOSTERILIZATION,18,0,0,<radio<{sterile}>ise>>ation>,NN
psychoanalytically,18,3,1.1,<psycho<{ana--lytic}>al>>ly>,RB
photosensitization,18,2,0.69,<photo<{sens--itize}>ation>,NN
particularizations,18,0,0,{particul--ar}>ise>>ation>>s>,NN
misinterpretations,18,135,4.91,<mis<{interpret}>ation>>s>,NN
MICROCYTOCHEMISTRY,18,0,0,{micro}<cyto<{chem--ist}>ry>,NN
KRISTALLSTRUKTUREN,18,0,0,NULL,NULL
interchangeability,18,73,4.29,<inter<{change}>able>>ity>,NN
intercommunicating,18,2,0.69,<inter<{commun--ic--ate}>ing>,VB
internationalizing,18,29,3.37,<inter<{nation}>al>>ise>>ing>,VB|NN
institutionalizing,18,36,3.58,{in--stitute}>ion>>al>>ise>>ing>,VB|NN|JJ
inconsequentiality,18,8,2.08,NULL,NULL
extemporaneousness,18,0,0,{ex--tempor--aneous}>ness>,NN
electrocardiograms,18,6,1.79,<electro<{cardi--ogram}>s>,NN
DIETHYLSTILBESTROL,18,14,2.64,{diethylstilbestrol},NN
counterattractions,18,0,0,<counter<{attract}>ion>>s>,NN
conversationalists,18,21,3.04,{converse}>ation>>al>>ist>>s>,NN
compartmentalizing,18,12,2.48,{compartment}>al>>ise>>ing>,VB|NN|JJ
Congregationalisms,18,0,0,{con--greg--ate}>ion>>al>>ism>>s>,NN
constitutionalists,18,44,3.78,{con--stitute}>ion>>al>>ist>>s>,NN
constitutionalized,18,0,0,{con--stitute}>ion>>al>>ise>>ed>,VB|JJ
constitutionalizes,18,0,0,{con--stitute}>ion>>al>>ise>>s>,VB
COCCIDIOIDOMYCOSIS,18,2,0.69,NULL,NN
chickenheartedness,18,0,0,NULL,NULL
